txnExternalId,location,description,status,currency,amount,txnAmount,txnCurrency,timestamp,lastNumbers,cardHolderName,transactionDate,type,merchantCategoryName,mcc,walletName,authIndicator,cardAcceptorName,authCode,note,receiptIds,receiptMatchingStatus,fee,companyAccountingCode,companyAccountingCodeName,balance,credit,debit,userId,hasThreeDs,label,reviewStatus
"b1fee4ad-78c7-42c1-b010-4f0599d1b8d6",,"Funds removed from card","APPROVED","EUR","-27",,,"2025-04-18T20:54:47Z","5024","Gillian Testing",,"ADJUSTMENT",,,,"OTHERS",,,,"[]","NULL",,,,,,"27",,,,"NOT_STARTED"
"273f7765-52cf-a464-b397-9ba6d4a64b61",,"Funds added to card","APPROVED","EUR","12",,,"2023-07-20T14:09:24Z","5024","Gillian Testing",,"ADJUSTMENT",,,,"OTHERS",,,,"[]","NULL",,,,,"12",,,,,"NOT_STARTED"
"3693e103-20af-e8ba-a8c3-aee1f02b5b99",,"Funds removed from card","APPROVED","EUR","-10",,,"2023-07-20T14:08:52Z","5024","Gillian Testing",,"ADJUSTMENT",,,,"OTHERS",,,,"[]","NULL",,,,,,"10",,,,"NOT_STARTED"
"7a884228-cbbf-fabe-a53b-6623d33fdab8",,"Funds added to card","APPROVED","EUR","10",,,"2023-07-17T20:07:46Z","5024","Gillian Testing",,"ADJUSTMENT",,,,"OTHERS",,,,"[]","NULL",,,,,"10",,,,,"NOT_STARTED"
"21d16411-e854-0ebc-f15a-d6a7704ff12e",,"Funds removed from card","APPROVED","EUR","-5",,,"2023-07-17T20:07:25Z","5024","Gillian Testing",,"ADJUSTMENT",,,,"OTHERS",,,,"[]","NULL",,,,,,"5",,,,"NOT_STARTED"
"5c1509a2-79ed-f17c-1686-9e5ba34a011b",,"Funds added to card","APPROVED","EUR","20",,,"2023-07-17T20:03:27Z","5024","Gillian Testing",,"ADJUSTMENT",,,,"OTHERS",,,,"[]","NULL",,,,,"20",,,,,"NOT_STARTED"
"b65990c3-dae5-8fa2-4c47-43d45a2689a4",,"Funds removed from card","APPROVED","EUR","-10",,,"2023-07-17T20:03:03Z","5024","Gillian Testing",,"ADJUSTMENT",,,,"OTHERS",,,,"[]","NULL",,,,,,"10",,,,"NOT_STARTED"
"d407605a-24e9-2bcc-2fd2-aa59a3260501",,"Funds added to card","APPROVED","EUR","10",,,"2023-07-10T20:14:54Z","5024","Gillian Testing",,"ADJUSTMENT",,,,"OTHERS",,,,"[]","NULL",,,,,"10",,,,,"NOT_STARTED"
"8a226975-39b9-c9fa-e9a0-433a1e0f0d56",,"Funds removed from card","APPROVED","EUR","-20",,,"2023-07-10T20:14:31Z","5024","Gillian Testing",,"ADJUSTMENT",,,,"OTHERS",,,,"[]","NULL",,,,,,"20",,,,"NOT_STARTED"
"f2c9ab63-6c7d-da8a-2e00-069bf3be9ce8",,"Card Activated","APPROVED","EUR","20",,,"2023-07-10T20:11:28Z","5024","Gillian Testing",,"CARD_ACTIVATION",,,,"OTHERS",,,,"[]","NULL",,,,,"20",,,,,"NOT_STARTED"
